"filename", "language", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"e:\Coding\GitHub\MyWebsite\StyleSheets.css", "CSS", 667, 0, 0, 19, 102, 788
"e:\Coding\GitHub\MyWebsite\bakery.html", "HTML", 0, 98, 0, 47, 18, 163
"e:\Coding\GitHub\MyWebsite\desserts.html", "HTML", 0, 172, 0, 9, 28, 209
"e:\Coding\GitHub\MyWebsite\index.html", "HTML", 0, 118, 0, 12, 21, 151
"e:\Coding\GitHub\MyWebsite\js\myScripts.js", "JavaScript", 0, 0, 694, 47, 84, 825
"e:\Coding\GitHub\MyWebsite\js\recipes.js", "JavaScript", 0, 0, 766, 8, 44, 818
"e:\Coding\GitHub\MyWebsite\maindishes.html", "HTML", 0, 142, 0, 10, 17, 169
"e:\Coding\GitHub\MyWebsite\starters.html", "HTML", 0, 93, 0, 9, 17, 119
"Total", "-", 667, 623, 1460, 161, 331, 3242
