"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"e:\Coding\GitHub\MyWebsite\StyleSheets.css", "CSS", 0, 667, 0, 19, 102, 788
"e:\Coding\GitHub\MyWebsite\bakery.html", "HTML", 98, 0, 0, 47, 18, 163
"e:\Coding\GitHub\MyWebsite\desserts.html", "HTML", 172, 0, 0, 9, 28, 209
"e:\Coding\GitHub\MyWebsite\index.html", "HTML", 118, 0, 0, 12, 21, 151
"e:\Coding\GitHub\MyWebsite\js\myScripts.js", "JavaScript", 0, 0, 743, 52, 78, 873
"e:\Coding\GitHub\MyWebsite\js\recipes.js", "JavaScript", 0, 0, 766, 8, 44, 818
"e:\Coding\GitHub\MyWebsite\maindishes.html", "HTML", 142, 0, 0, 10, 17, 169
"e:\Coding\GitHub\MyWebsite\starters.html", "HTML", 93, 0, 0, 9, 17, 119
"Total", "-", 623, 667, 1509, 166, 325, 3290
