"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"e:\Coding\GitHub\MyWebsite\StyleSheets.css", "CSS", 0, 483, 0, 12, 64, 559
"e:\Coding\GitHub\MyWebsite\bakery.html", "HTML", 116, 0, 0, 8, 15, 139
"e:\Coding\GitHub\MyWebsite\desserts.html", "HTML", 141, 0, 0, 8, 19, 168
"e:\Coding\GitHub\MyWebsite\index.html", "HTML", 117, 0, 0, 12, 20, 149
"e:\Coding\GitHub\MyWebsite\js\myScripts.js", "JavaScript", 0, 0, 502, 39, 54, 595
"e:\Coding\GitHub\MyWebsite\js\recipes.js", "JavaScript", 0, 0, 596, 7, 37, 640
"e:\Coding\GitHub\MyWebsite\maindishes.html", "HTML", 116, 0, 0, 9, 12, 137
"e:\Coding\GitHub\MyWebsite\starters.html", "HTML", 76, 0, 0, 8, 14, 98
"Total", "-", 566, 483, 1098, 103, 235, 2485
